canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_value,type,value
CCc1c(N2CCN(C(=O)c3nccc4cn[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188722,=,=,IC50,10.0,IC50,0.01
CCc1c(N2CCN(C(=O)c3cc(Cl)cc4[nH]cnc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189259,=,=,IC50,50.0,IC50,0.05
CCc1c(N2CCN(C(=O)c3cc(Br)cc4[nH]cnc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188815,=,=,IC50,50.0,IC50,0.05
CCc1c(N2CCN(C(=O)c3ncnc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6190262,=,=,IC50,9.0,IC50,0.009
CCc1c(N2CCN(C(=O)c3cc4[nH]ccc4cn3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188838,=,=,IC50,71.0,IC50,0.071
CCc1c(N2CCN(C(=O)c3cc4ncccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6190298,=,=,IC50,8.0,IC50,0.008
CCc1c(N2CCN(C(=O)c3nc4cccnc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6192156,=,=,IC50,31.0,IC50,0.031
CCc1c(N2CCN(C(=O)c3nc4nc(Cl)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6191248,=,=,IC50,42.0,IC50,0.042
CCc1c(N2CCN(C(=O)C3=CC4C=CC=NC4N3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6191711,=,=,IC50,194.0,IC50,0.194
CCc1c(N2CCN(C(=O)c3ccc4cccc(O)c4n3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6190409,=,=,IC50,186.0,IC50,0.186
CCc1c(N2CCN(C(=O)c3cccc4cc[nH]c34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6192322,=,=,IC50,223.0,IC50,0.223
CCc1c(N2CCN(C(=O)c3cnc4ccccc4c3O)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6191855,=,=,IC50,129.0,IC50,0.129
CCc1c(N2CCN(c3ncnc4cccnc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189711,=,=,IC50,150200.0,IC50,150.2
CCc1c(N2CCN(C(=O)c3noc4ccccc34)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6192812,=,=,IC50,2371.0,IC50,2.371
CCc1c(N2CCN(C(=O)c3nc4ccccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6189507,=,=,IC50,379.0,IC50,0.379
CCc1c(N2CCN(C(=O)c3cc4nc(Br)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6188538,=,=,IC50,205.0,IC50,0.205
CCc1c(N2CCN(C(=O)c3cc4ncc(Br)cc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6193240,=,=,IC50,128.0,IC50,0.128
CCc1c(N2CCN(C(=O)c3cc4nc(C(F)(F)F)ccc4[nH]3)CC2)c(=O)n2nc(C3=CCOCC3)nc2n1CC(=O)Nc1ccc(C(F)(F)F)cc1Cl,CHEMBL6193213,=,=,IC50,597.0,IC50,0.597
